sample_name,matrix,treatment,strip,manure_amendment,plot,block,sample_day,sample_num,soil_type,depth,replicate,miseq_run
ACS_T000_P3_S2_D1,soil,ACS,Y,N,3,3,T000,2,Crop,Depth 1,soil_T000_crop,STRIPS_Run_1
ACS_T000_P3_S2_D2,soil,ACS,Y,N,3,3,T000,2,Crop,Depth 2,soil_T000_crop,STRIPS_Run_1
ACS_T000_P3_S3_D1,soil,ACS,Y,N,3,3,T000,3,Crop,Depth 1,soil_T000_crop,STRIPS_Run_1
ACS_T000_P3_S3_D2,soil,ACS,Y,N,3,3,T000,3,Crop,Depth 2,soil_T000_crop,STRIPS_Run_1
ACS_T000_P3_S4_D1,soil,ACS,Y,N,3,3,T000,4,Crop,Depth 1,soil_T000_crop,STRIPS_Run_1
ACS_T000_P3_S4_D2,soil,ACS,Y,N,3,3,T000,4,Crop,Depth 2,soil_T000_crop,STRIPS_Run_1
ACS_T000_P3_S5_D1,soil,ACS,Y,N,3,3,T000,5,Interface,Depth 1,soil_T000_interface,STRIPS_Run_1
ACS_T000_P3_S5_D2,soil,ACS,Y,N,3,3,T000,5,Interface,Depth 2,soil_T000_interface,STRIPS_Run_1
ACS_T000_P3_S6_D1,soil,ACS,Y,N,3,3,T000,6,Strip,Depth 1,soil_T000_strip,STRIPS_Run_1
ACS_T000_P3_S6_D2,soil,ACS,Y,N,3,3,T000,6,Strip,Depth 2,soil_T000_strip,STRIPS_Run_1
ACS_T000_P3_S7_D1,soil,ACS,Y,N,3,3,T000,7,Strip,Depth 1,soil_T000_strip,STRIPS_Run_1
ACS_T000_P3_S7_D2,soil,ACS,Y,N,3,3,T000,7,Strip,Depth 2,soil_T000_strip,STRIPS_Run_1
ACS_T000_P3_S8_D1,soil,ACS,Y,N,3,3,T000,8,Strip,Depth 1,soil_T000_strip,STRIPS_Run_1
ACS_T000_P3_S8_D2,soil,ACS,Y,N,3,3,T000,8,Strip,Depth 2,soil_T000_strip,STRIPS_Run_1
ACS_T000_P3_S9_D1,soil,ACS,Y,N,3,3,T000,9,Strip,Depth 1,soil_T000_strip,STRIPS_Run_1
